epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,7026.81,0.71316,0.65125,1.19856,0.90064,0.56627,0.64721,0.52614,0.8828,0.89739,1.39921,0.0005744,0.0005744,0.0005744
146,7053.35,0.72552,0.65162,1.20172,0.81787,0.60542,0.65653,0.52402,0.89258,0.89953,1.41382,0.0005645,0.0005645,0.0005645
147,7080.07,0.69513,0.63747,1.19122,0.83263,0.59939,0.64014,0.51714,0.8896,0.92222,1.40668,0.0005546,0.0005546,0.0005546
148,7106.64,0.68517,0.61597,1.17209,0.85296,0.57229,0.6467,0.51384,0.94264,0.96197,1.46906,0.0005447,0.0005447,0.0005447
149,7132.95,0.67388,0.60729,1.17545,0.80096,0.60843,0.64859,0.51244,0.92884,0.93207,1.45244,0.0005348,0.0005348,0.0005348
150,7159.14,0.66088,0.58098,1.16194,0.86448,0.57642,0.65037,0.52227,0.89359,0.90341,1.42023,0.0005249,0.0005249,0.0005249
151,7185.56,0.72407,0.64806,1.20084,0.80582,0.58748,0.64693,0.52465,0.88639,0.94091,1.41428,0.000515,0.000515,0.000515
152,7211.91,0.69253,0.62041,1.17433,0.8216,0.59337,0.66034,0.52503,0.90174,0.941,1.41308,0.0005051,0.0005051,0.0005051
153,7238.55,0.6864,0.60912,1.17522,0.8686,0.5994,0.66642,0.53264,0.90629,0.95059,1.42484,0.0004952,0.0004952,0.0004952
154,7265.07,0.67668,0.59758,1.17113,0.83278,0.60542,0.66655,0.53326,0.88097,0.89047,1.40292,0.0004853,0.0004853,0.0004853
155,7291.7,0.6821,0.58957,1.17234,0.78389,0.63253,0.67672,0.54427,0.8695,0.89595,1.38765,0.0004754,0.0004754,0.0004754
156,7318.3,0.67287,0.59417,1.16617,0.86914,0.56928,0.65701,0.53831,0.88949,0.90986,1.40632,0.0004655,0.0004655,0.0004655
157,7344.84,0.68082,0.58486,1.18232,0.85955,0.60833,0.66602,0.53733,0.86123,0.8703,1.37289,0.0004556,0.0004556,0.0004556
158,7371.49,0.68511,0.61733,1.17573,0.85879,0.59337,0.66331,0.53924,0.87184,0.90614,1.38236,0.0004457,0.0004457,0.0004457
159,7398.15,0.68976,0.59883,1.17444,0.82387,0.59639,0.66365,0.54006,0.87787,0.88578,1.39418,0.0004358,0.0004358,0.0004358
160,7424.74,0.66852,0.59499,1.17068,0.83175,0.61446,0.66762,0.54752,0.86735,0.89108,1.38303,0.0004259,0.0004259,0.0004259
161,7451.49,0.68384,0.61324,1.18236,0.84076,0.57229,0.65759,0.53747,0.87429,0.89567,1.39379,0.000416,0.000416,0.000416
162,7478.24,0.67967,0.60094,1.17316,0.88018,0.57527,0.66094,0.53901,0.8675,0.90062,1.38304,0.0004061,0.0004061,0.0004061
163,7504.82,0.68404,0.60616,1.1794,0.83102,0.59254,0.64843,0.51859,0.89492,0.93011,1.40879,0.0003962,0.0003962,0.0003962
164,7531.38,0.66868,0.57998,1.16883,0.85204,0.58975,0.6493,0.52687,0.91342,0.95114,1.4009,0.0003863,0.0003863,0.0003863
165,7557.82,0.66885,0.57411,1.16068,0.86385,0.58133,0.64541,0.5229,0.89066,0.96044,1.38253,0.0003764,0.0003764,0.0003764
166,7584.39,0.65995,0.57417,1.15795,0.84118,0.59036,0.65827,0.53285,0.88132,0.91888,1.40025,0.0003665,0.0003665,0.0003665
167,7613.45,0.66703,0.58662,1.16879,0.88577,0.58434,0.66125,0.53245,0.8955,0.92283,1.42272,0.0003566,0.0003566,0.0003566
168,7641.24,0.66514,0.57701,1.16874,0.84314,0.61446,0.66259,0.53748,0.87684,0.87704,1.40833,0.0003467,0.0003467,0.0003467
169,7669.46,0.68241,0.59778,1.17364,0.88099,0.60241,0.67236,0.54115,0.88654,0.90698,1.39795,0.0003368,0.0003368,0.0003368
170,7698.19,0.67033,0.5762,1.16879,0.85428,0.61446,0.66757,0.54081,0.89104,0.92041,1.40802,0.0003269,0.0003269,0.0003269
171,7726.61,0.64811,0.55922,1.14559,0.83757,0.60241,0.65698,0.53604,0.8859,0.92803,1.40031,0.000317,0.000317,0.000317
172,7754.5,0.65366,0.56153,1.16046,0.83179,0.60241,0.66508,0.54378,0.85366,0.91291,1.3614,0.0003071,0.0003071,0.0003071
173,7783.49,0.66381,0.59043,1.16908,0.87465,0.57831,0.65819,0.53554,0.85657,0.92135,1.38023,0.0002972,0.0002972,0.0002972
174,7812.15,0.64266,0.58136,1.15755,0.861,0.59701,0.66119,0.54226,0.84704,0.87905,1.36889,0.0002873,0.0002873,0.0002873
175,7840.47,0.67031,0.5894,1.16959,0.84175,0.59036,0.65447,0.53855,0.84431,0.91442,1.36212,0.0002774,0.0002774,0.0002774
176,7868.66,0.63531,0.55596,1.14202,0.82386,0.60542,0.65238,0.53367,0.87096,0.92376,1.38868,0.0002675,0.0002675,0.0002675
177,7897.03,0.64225,0.56407,1.15365,0.82033,0.60542,0.65019,0.53588,0.86678,0.93326,1.38421,0.0002576,0.0002576,0.0002576
178,7925.47,0.64395,0.56766,1.14903,0.85275,0.5994,0.64858,0.53406,0.87445,0.90807,1.39383,0.0002477,0.0002477,0.0002477
179,7953.9,0.65988,0.57434,1.15703,0.83033,0.60436,0.65606,0.53725,0.86888,0.92362,1.38575,0.0002378,0.0002378,0.0002378
180,7982.21,0.65153,0.56387,1.15091,0.82855,0.59682,0.65416,0.53649,0.87049,0.89423,1.39037,0.0002279,0.0002279,0.0002279
